file_name,id,class
000000042499.jpg,42499,0
000000507136.jpg,507136,1
000000541606.jpg,541606,0
000000415203.jpg,415203,0
000000117988.jpg,117988,1
000000258815.jpg,258815,1
000000524522.jpg,524522,1
000000521281.jpg,521281,1
000000523907.jpg,523907,1
000000181963.jpg,181963,0
000000209745.jpg,209745,1
000000052847.jpg,52847,1
000000388962.jpg,388962,0
000000074332.jpg,74332,1
000000461673.jpg,461673,1
000000549012.jpg,549012,0
000000050151.jpg,50151,0
000000455751.jpg,455751,1
000000365541.jpg,365541,1
000000442542.jpg,442542,0
000000435902.jpg,435902,0
000000370591.jpg,370591,1
000000006233.jpg,6233,1
000000043742.jpg,43742,1
000000182642.jpg,182642,1
000000071004.jpg,71004,1
000000018048.jpg,18048,1
000000074069.jpg,74069,0
000000357278.jpg,357278,1
000000414495.jpg,414495,0
000000127072.jpg,127072,0
000000348723.jpg,348723,0
000000303870.jpg,303870,1
000000572899.jpg,572899,0
000000001822.jpg,1822,1
000000358086.jpg,358086,1
000000298651.jpg,298651,0
000000017273.jpg,17273,1
000000277521.jpg,277521,1
000000290543.jpg,290543,1
000000064264.jpg,64264,1
000000277436.jpg,277436,1
000000215450.jpg,215450,0
000000315094.jpg,315094,1
000000135263.jpg,135263,1
000000488768.jpg,488768,0
000000147866.jpg,147866,0
000000391651.jpg,391651,1
000000393311.jpg,393311,0
000000247263.jpg,247263,0
000000018942.jpg,18942,1
000000142689.jpg,142689,1
000000213305.jpg,213305,1
000000513220.jpg,513220,0
000000166141.jpg,166141,1
000000054618.jpg,54618,0
000000134215.jpg,134215,0
000000414873.jpg,414873,1
000000300928.jpg,300928,0
000000011758.jpg,11758,0
000000307194.jpg,307194,0
000000213838.jpg,213838,1
000000130624.jpg,130624,1
000000505335.jpg,505335,1
000000039528.jpg,39528,1
000000488043.jpg,488043,0
000000572008.jpg,572008,1
000000301657.jpg,301657,0
000000086472.jpg,86472,1
000000389184.jpg,389184,1
000000267217.jpg,267217,0
000000459749.jpg,459749,0
000000240331.jpg,240331,1
000000298917.jpg,298917,1
000000054575.jpg,54575,0
000000265982.jpg,265982,0
000000406145.jpg,406145,1
000000098121.jpg,98121,0
000000560660.jpg,560660,1
000000468238.jpg,468238,0
000000361481.jpg,361481,0
000000271364.jpg,271364,1
000000059933.jpg,59933,1
000000016931.jpg,16931,0
000000014861.jpg,14861,0
000000017953.jpg,17953,0
000000360896.jpg,360896,0
000000200941.jpg,200941,0
000000102066.jpg,102066,0
000000049006.jpg,49006,0
000000142879.jpg,142879,1
000000091998.jpg,91998,1
000000079912.jpg,79912,1
