,file_name,class_augment,class,augment
64071,419575_2_0.jpg,1_T,1,T
53194,364993_3_0.jpg,0_T,0,T
9112,144298_0_0.jpg,0_T,0,T
70918,455311_0_0.jpg,0_T,0,T
76001,479550_0_0.jpg,0_T,0,T
57310,385150_0_0.jpg,0_T,0,T
7808,138133_3_0.jpg,0_T,0,T
22806,212998_1_0.jpg,1_T,1,T
32686,263588_1_0.jpg,0_T,0,T
9060,144115_0_0.jpg,0_T,0,T
103783,96723_2_0.jpg,0_T,0,T
90722,554855_0_0.jpg,0_T,0,T
74688,473072_0_0.jpg,0_T,0,T
66800,433224_0_0.jpg,0_T,0,T
54992,373666_1_0.jpg,0_T,0,T
67948,439303_2_0.jpg,0_T,0,T
53872,368103_0_0.jpg,0_T,0,T
81470,507301_1_0.jpg,0_T,0,T
70287,451854_1_0.jpg,0_T,0,T
56070,378860_1_0.jpg,0_T,0,T
99250,73427_3_0.jpg,0_T,0,T
75047,475024_0_0.jpg,0_T,0,T
82746,513961_1_0.jpg,0_T,0,T
81467,507287_0_0.jpg,0_T,0,T
99864,76295_2_0.jpg,0_T,0,T
9998,148955_0_0.jpg,0_T,0,T
9858,148240_5_0.jpg,0_T,0,T
48930,344065_1_0.jpg,0_T,0,T
36910,285302_0_0.jpg,0_T,0,T
92468,56341_2_0.jpg,0_T,0,T
6767,133063_2_0.jpg,0_T,0,T
87336,537417_2_0.jpg,0_T,0,T
59991,398331_1_0.jpg,1_T,1,T
88526,54363_0_0.jpg,0_T,0,T
64727,42285_0_0.jpg,0_T,0,T
38998,295753_0_0.jpg,0_T,0,T
59842,397705_0_0.jpg,0_T,0,T
88764,544760_1_0.jpg,0_T,0,T
92465,563394_0_0.jpg,0_T,0,T
49759,348031_0_0.jpg,0_T,0,T
6479,131593_1_0.jpg,1_T,1,T
12425,161178_1_0.jpg,0_T,0,T
98018,67422_0_0.jpg,1_T,1,T
41711,308777_1_0.jpg,0_T,0,T
28599,242516_0_0.jpg,0_T,0,T
32284,261597_0_0.jpg,0_T,0,T
40014,300333_0_0.jpg,0_T,0,T
47833,338258_0_0.jpg,1_T,1,T
67980,439463_1_0.jpg,0_T,0,T
27333,236117_2_0.jpg,0_T,0,T
197,101172_0_0.jpg,0_T,0,T
64478,421536_1_0.jpg,1_T,1,T
36078,281208_1_0.jpg,0_T,0,T
75892,479035_3_0.jpg,0_T,0,T
20947,204390_3_0.jpg,0_T,0,T
41319,30667_3_0.jpg,0_T,0,T
81054,505163_4_0.jpg,1_T,1,T
11690,157416_0_0.jpg,0_T,0,T
80534,502485_0_0.jpg,0_T,0,T
33172,266209_0_0.jpg,0_T,0,T
41814,309294_4_0.jpg,0_T,0,T
57348,385326_0_0.jpg,0_T,0,T
83687,518592_0_0.jpg,0_T,0,T
63493,416655_3_0.jpg,1_T,1,T
21208,205570_0_0.jpg,0_T,0,T
17289,186275_0_0.jpg,0_T,0,T
63244,415365_1_0.jpg,0_T,0,T
85696,528994_7_0.jpg,0_T,0,T
67653,437632_3_0.jpg,0_T,0,T
6890,133707_1_0.jpg,0_T,0,T
31463,257211_0_0.jpg,0_T,0,T
4683,12313_0_0.jpg,1_T,1,T
22397,21095_2_0.jpg,0_T,0,T
75696,477920_1_0.jpg,0_T,0,T
88588,543947_0_0.jpg,0_T,0,T
98630,70589_0_0.jpg,0_T,0,T
3848,119114_0_0.jpg,0_T,0,T
63426,416426_2_0.jpg,0_T,0,T
67442,43655_1_0.jpg,0_T,0,T
84720,523854_0_0.jpg,0_T,0,T
39523,298077_0_0.jpg,0_T,0,T
88658,544216_0_0.jpg,0_T,0,T
33564,268051_1_0.jpg,0_T,0,T
783,104026_5_0.jpg,0_T,0,T
63010,414122_2_0.jpg,0_T,0,T
95438,57812_0_0.jpg,0_T,0,T
55960,378451_1_0.jpg,0_T,0,T
64197,420120_2_0.jpg,0_T,0,T
39374,297425_2_0.jpg,0_T,0,T
70223,451489_1_0.jpg,0_T,0,T
101124,82548_0_0.jpg,0_T,0,T
2270,111157_1_0.jpg,0_T,0,T
37085,28614_1_0.jpg,0_T,0,T
52530,361947_0_0.jpg,0_T,0,T
41623,308433_2_0.jpg,1_T,1,T
97882,66691_0_0.jpg,0_T,0,T
86045,530896_0_0.jpg,0_T,0,T
30239,251319_0_0.jpg,0_T,0,T
59613,39663_0_0.jpg,0_T,0,T
35397,27764_0_0.jpg,0_T,0,T
26099,229688_2_0.jpg,1_T,1,T
84663,523543_0_0.jpg,0_T,0,T
1557,107425_1_0.jpg,0_T,0,T
96079,581282_1_0.jpg,1_T,1,T
10447,151358_2_0.jpg,0_T,0,T
58815,392445_1_0.jpg,0_T,0,T
83789,519135_0_0.jpg,0_T,0,T
90225,552354_1_0.jpg,0_T,0,T
30011,25009_4_0.jpg,0_T,0,T
101190,82873_0_0.jpg,0_T,0,T
57008,383622_0_0.jpg,0_T,0,T
51912,358884_0_0.jpg,1_T,1,T
101382,83869_2_0.jpg,1_T,1,T
60700,402057_1_0.jpg,0_T,0,T
51094,354631_1_0.jpg,0_T,0,T
40610,303330_1_0.jpg,0_T,0,T
70366,452229_0_0.jpg,0_T,0,T
43364,316575_0_0.jpg,0_T,0,T
97975,67155_0_0.jpg,1_T,1,T
33308,266908_1_0.jpg,0_T,0,T
53449,365945_0_0.jpg,0_T,0,T
88661,544216_3_0.jpg,1_T,1,T
54069,369331_5_0.jpg,0_T,0,T
89915,550745_1_0.jpg,0_T,0,T
91740,560009_5_0.jpg,1_T,1,T
15445,177289_1_0.jpg,0_T,0,T
26108,229787_0_0.jpg,0_T,0,T
54583,371847_0_0.jpg,0_T,0,T
67569,437209_3_0.jpg,0_T,0,T
92723,564609_0_0.jpg,0_T,0,T
78581,492236_2_0.jpg,1_T,1,T
57049,38380_3_0.jpg,1_T,1,T
93922,570460_4_0.jpg,0_T,0,T
12241,160259_0_0.jpg,0_T,0,T
43785,318888_0_0.jpg,0_T,0,T
34667,273887_2_0.jpg,1_T,1,T
98325,68987_0_0.jpg,0_T,0,T
27106,234889_0_0.jpg,0_T,0,T
59036,393814_3_0.jpg,0_T,0,T
6745,132997_4_0.jpg,0_T,0,T
80152,500537_2_0.jpg,0_T,0,T
90420,553446_1_0.jpg,1_T,1,T
60714,402109_2_0.jpg,0_T,0,T
90159,552074_0_0.jpg,0_T,0,T
40616,303365_0_0.jpg,0_T,0,T
67927,439214_0_0.jpg,0_T,0,T
4045,120060_1_0.jpg,0_T,0,T
43777,318820_1_0.jpg,0_T,0,T
36021,281038_2_0.jpg,0_T,0,T
103605,95679_1_0.jpg,0_T,0,T
23970,219030_3_0.jpg,0_T,0,T
70522,452985_1_0.jpg,0_T,0,T
46700,332940_0_0.jpg,0_T,0,T
87667,539297_3_0.jpg,0_T,0,T
84570,523154_1_0.jpg,0_T,0,T
61784,407532_0_0.jpg,0_T,0,T
8578,141920_2_0.jpg,0_T,0,T
90891,555848_1_0.jpg,0_T,0,T
485,102662_3_0.jpg,0_T,0,T
13867,168797_1_0.jpg,0_T,0,T
54072,369355_0_0.jpg,0_T,0,T
17380,186699_2_0.jpg,0_T,0,T
80227,500954_0_0.jpg,0_T,0,T
83722,518829_2_0.jpg,1_T,1,T
31647,258160_0_0.jpg,1_T,1,T
62242,410110_0_0.jpg,0_T,0,T
65073,424604_0_0.jpg,0_T,0,T
67392,436350_0_0.jpg,0_T,0,T
85413,527464_1_0.jpg,0_T,0,T
1216,105936_0_0.jpg,1_T,1,T
5852,128373_0_0.jpg,0_T,0,T
32247,261326_0_0.jpg,0_T,0,T
10117,149456_0_0.jpg,0_T,0,T
20466,20207_1_0.jpg,0_T,0,T
16005,180179_2_0.jpg,0_T,0,T
74687,473070_0_0.jpg,0_T,0,T
51830,358492_2_0.jpg,0_T,0,T
26817,233337_0_0.jpg,0_T,0,T
66112,429735_1_0.jpg,0_T,0,T
77715,487952_0_0.jpg,0_T,0,T
60301,399981_1_0.jpg,0_T,0,T
101750,85902_1_0.jpg,0_T,0,T
11464,156461_1_0.jpg,0_T,0,T
19316,196798_0_0.jpg,0_T,0,T
76578,482454_0_0.jpg,0_T,0,T
61994,408906_0_0.jpg,1_T,1,T
5731,12790_0_0.jpg,0_T,0,T
13703,167854_2_0.jpg,0_T,0,T
87486,538242_0_0.jpg,0_T,0,T
17722,188216_2_0.jpg,0_T,0,T
